case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
410,950,6,7,REQ,0,4,3638500,3638512,12,PASS,PASS
411,951,4,6,REQ,0,4,3655551,3655567,16,PASS,PASS
411,952,2,3,REQ,1,7,3655551,3655575,24,PASS,PASS
411,953,8,6,RESP,2,6,3655551,3655570,19,PASS,PASS
412,954,2,3,RESP,3,3,3672602,3672618,16,PASS,PASS
412,955,1,0,REQ,1,7,3672602,3672620,18,PASS,PASS
412,956,7,4,REQ,1,3,3672602,3672612,10,PASS,PASS
413,957,3,5,REQ,1,3,3689653,3689666,13,PASS,PASS
413,958,0,6,RESP,2,4,3689653,3689668,15,PASS,PASS
413,959,7,5,REQ,1,5,3689653,3689671,18,PASS,PASS
414,960,4,6,REQ,1,5,3706704,3706721,17,PASS,PASS
414,961,3,2,RESP,2,6,3706704,3706726,22,PASS,PASS
414,962,8,4,REQ,0,7,3706704,3706725,21,PASS,PASS
415,963,3,4,RESP,3,2,3723755,3723763,8,PASS,PASS
415,964,8,1,RESP,3,5,3723755,3723775,20,PASS,PASS
415,965,1,6,REQ,0,5,3723755,3723775,20,PASS,PASS
416,966,8,4,REQ,1,4,3740806,3740821,15,PASS,PASS
416,967,0,2,REQ,0,7,3740806,3740827,21,PASS,PASS
416,968,5,3,REQ,1,5,3740806,3740823,17,PASS,PASS
417,969,5,7,RESP,2,3,3757857,3757870,13,PASS,PASS
417,970,4,0,RESP,3,5,3757857,3757874,17,PASS,PASS
417,971,6,2,RESP,2,5,3757857,3757880,23,PASS,PASS
418,972,1,5,RESP,3,3,3774908,3774921,13,PASS,PASS
418,973,0,2,RESP,3,3,3774908,3774921,13,PASS,PASS
418,974,8,5,RESP,3,2,3774908,3774916,8,PASS,PASS
419,975,4,8,RESP,2,3,3791959,3791972,13,PASS,PASS
419,976,6,2,REQ,1,3,3791959,3791978,19,PASS,PASS
419,977,0,3,REQ,1,7,3791959,3791977,18,PASS,PASS
420,978,2,6,RESP,2,5,3809010,3809033,23,PASS,PASS
420,979,8,5,RESP,2,3,3809010,3809020,10,PASS,PASS
420,980,0,4,RESP,2,6,3809010,3809029,19,PASS,PASS
421,981,2,6,REQ,1,2,3826061,3826078,17,PASS,PASS
421,982,7,6,RESP,3,4,3826061,3826073,12,PASS,PASS
421,983,4,0,REQ,0,2,3826061,3826072,11,PASS,PASS
422,984,6,0,RESP,2,4,3843112,3843127,15,PASS,PASS
422,985,2,3,RESP,3,5,3843112,3843132,20,PASS,PASS
422,986,5,4,REQ,0,7,3843112,3843130,18,PASS,PASS
423,987,1,4,REQ,1,6,3860163,3860179,16,PASS,PASS
423,988,7,1,REQ,1,7,3860163,3860185,22,PASS,PASS
423,989,3,1,RESP,2,7,3860163,3860184,21,PASS,PASS
424,990,4,5,REQ,1,2,3877214,3877222,8,PASS,PASS
424,991,5,6,RESP,3,5,3877214,3877234,20,PASS,PASS
424,992,0,5,RESP,3,5,3877214,3877234,20,PASS,PASS
425,993,6,2,REQ,1,2,3894265,3894282,17,PASS,PASS
425,994,8,4,RESP,3,6,3894265,3894284,19,PASS,PASS
425,995,4,2,REQ,1,6,3894265,3894285,20,PASS,PASS
426,996,8,7,RESP,3,6,3911316,3911332,16,PASS,PASS
426,997,7,4,REQ,1,3,3911316,3911326,10,PASS,PASS
426,998,5,1,REQ,1,3,3911316,3911329,13,PASS,PASS
427,999,2,0,RESP,2,4,3928367,3928382,15,PASS,PASS
427,1000,3,1,RESP,3,6,3928367,3928386,19,PASS,PASS
427,1001,4,0,REQ,1,5,3928367,3928385,18,PASS,PASS
428,1002,8,3,REQ,0,4,3945418,3945436,18,PASS,PASS
428,1003,6,3,RESP,3,6,3945418,3945435,17,PASS,PASS
428,1004,4,8,RESP,3,7,3945418,3945439,21,PASS,PASS
429,1005,5,2,REQ,0,6,3962469,3962485,16,PASS,PASS
429,1006,2,3,RESP,3,7,3962469,3962493,24,PASS,PASS
429,1007,1,8,RESP,2,7,3962469,3962493,24,PASS,PASS
430,1008,4,7,REQ,1,5,3979520,3979534,14,PASS,PASS
