case_id,pkt_id,src_rid,dst_rid,msg_class,vc_id,pkt_len,inject_cycle,finish_cycle,latency,status,error_code
2925,3543,0,3,RESP,2,3,,,10,PASS,PASS
2925,3544,6,4,RESP,3,2,,,11,PASS,PASS
2925,3545,4,2,REQ,1,4,,,15,PASS,PASS
2926,3546,0,2,RESP,2,7,,,21,PASS,PASS
2926,3547,7,8,REQ,0,7,,,18,PASS,PASS
2926,3548,2,6,RESP,3,3,,,19,PASS,PASS
2927,3549,3,5,RESP,2,7,,,21,PASS,PASS
2927,3550,0,7,RESP,2,4,,,18,PASS,PASS
2927,3551,1,8,REQ,1,7,,,24,PASS,PASS
2928,3552,1,4,REQ,1,6,,,16,PASS,PASS
2928,3553,3,1,RESP,2,4,,,15,PASS,PASS
2928,3554,0,3,RESP,3,6,,,16,PASS,PASS
2929,3555,7,5,RESP,3,4,,,15,PASS,PASS
2929,3556,1,6,RESP,2,4,,,18,PASS,PASS
2929,3557,6,1,REQ,0,6,,,22,PASS,PASS
2930,3558,8,1,RESP,3,2,,,14,PASS,PASS
2930,3559,7,6,REQ,0,7,,,18,PASS,PASS
2930,3560,2,6,REQ,1,6,,,25,PASS,PASS
2931,3561,1,3,RESP,2,6,,,19,PASS,PASS
2931,3562,4,1,REQ,0,4,,,12,PASS,PASS
2931,3563,8,7,REQ,0,4,,,12,PASS,PASS
2932,3564,5,7,RESP,2,5,,,17,PASS,PASS
2932,3565,4,7,REQ,1,3,,,10,PASS,PASS
2932,3566,6,1,REQ,0,7,,,24,PASS,PASS
2933,3567,8,0,REQ,0,6,,,25,PASS,PASS
2933,3568,2,6,REQ,0,4,,,21,PASS,PASS
2933,3569,6,2,REQ,0,4,,,21,PASS,PASS
2934,3570,2,1,RESP,2,5,,,14,PASS,PASS
2934,3571,3,7,RESP,3,2,,,11,PASS,PASS
2934,3572,0,2,REQ,1,6,,,19,PASS,PASS
2935,3573,3,4,RESP,3,7,,,18,PASS,PASS
2935,3574,2,3,REQ,1,4,,,18,PASS,PASS
2935,3575,8,5,REQ,0,3,,,10,PASS,PASS
2936,3576,2,7,REQ,0,5,,,20,PASS,PASS
2936,3577,3,6,RESP,3,2,,,8,PASS,PASS
2936,3578,6,1,REQ,0,3,,,16,PASS,PASS
2937,3579,0,4,REQ,0,5,,,17,PASS,PASS
2937,3580,4,2,REQ,1,6,,,19,PASS,PASS
2937,3581,5,8,REQ,0,7,,,18,PASS,PASS
2938,3582,4,0,REQ,1,6,,,20,PASS,PASS
2938,3583,2,0,RESP,3,4,,,15,PASS,PASS
2938,3584,8,2,RESP,2,2,,,11,PASS,PASS
2939,3585,7,6,RESP,3,6,,,16,PASS,PASS
2939,3586,8,5,REQ,1,2,,,8,PASS,PASS
2939,3587,0,6,REQ,0,4,,,15,PASS,PASS
2940,3588,4,2,REQ,0,6,,,20,PASS,PASS
2940,3589,0,2,REQ,1,2,,,11,PASS,PASS
2940,3590,7,1,RESP,2,6,,,19,PASS,PASS
2941,3591,3,2,REQ,0,2,,,14,PASS,PASS
2941,3592,1,6,RESP,2,5,,,20,PASS,PASS
2941,3593,8,2,REQ,1,3,,,13,PASS,PASS
2942,3594,2,7,RESP,3,6,,,22,PASS,PASS
2942,3595,4,8,REQ,0,6,,,19,PASS,PASS
2942,3596,1,8,RESP,3,3,,,16,PASS,PASS
2943,3597,6,3,REQ,1,5,,,14,PASS,PASS
2943,3598,8,6,RESP,2,2,,,11,PASS,PASS
2943,3599,1,3,REQ,1,5,,,17,PASS,PASS
2944,3600,3,5,RESP,2,7,,,21,PASS,PASS
2944,3601,7,0,RESP,3,5,,,20,PASS,PASS
2944,3602,2,3,RESP,2,2,,,14,PASS,PASS
2945,3603,6,0,RESP,3,6,,,19,PASS,PASS
2945,3604,2,7,REQ,0,3,,,16,PASS,PASS
2945,3605,0,2,REQ,1,4,,,15,PASS,PASS
2946,3606,5,3,RESP,3,5,,,17,PASS,PASS
2946,3607,8,4,RESP,2,2,,,11,PASS,PASS
2946,3608,0,4,REQ,0,6,,,20,PASS,PASS
2947,3609,5,3,RESP,3,5,,,17,PASS,PASS
2947,3610,4,0,RESP,3,6,,,19,PASS,PASS
2947,3611,0,1,RESP,2,4,,,12,PASS,PASS
2948,3612,1,6,REQ,0,7,,,24,PASS,PASS
