case_id,pkt_done,case_pass,case_fail,latency_sum,latency_min,latency_max,latency_avg
595,2,2,0,18,9,9,9.0
596,2,2,0,12,6,6,6.0
597,2,2,0,21,6,15,10.5
598,2,2,0,18,6,12,9.0
599,2,2,0,27,12,15,13.5
600,2,2,0,18,6,12,9.0
601,2,2,0,21,9,12,10.5
602,2,2,0,18,6,12,9.0
603,2,2,0,24,9,15,12.0
604,2,2,0,21,9,12,10.5
605,2,2,0,21,9,12,10.5
606,2,2,0,15,6,9,7.5
607,2,2,0,18,9,9,9.0
608,2,2,0,18,6,12,9.0
609,2,2,0,15,6,9,7.5
610,2,2,0,18,6,12,9.0
611,2,2,0,15,6,9,7.5
612,2,2,0,12,6,6,6.0
613,2,2,0,24,9,15,12.0
614,2,2,0,24,9,15,12.0
615,2,2,0,18,9,9,9.0
616,2,2,0,21,9,12,10.5
617,2,2,0,21,6,15,10.5
618,2,2,0,18,6,12,9.0
619,2,2,0,12,6,6,6.0
620,2,2,0,24,12,12,12.0
621,2,2,0,15,6,9,7.5
622,2,2,0,18,9,9,9.0
623,2,2,0,18,9,9,9.0
624,2,2,0,12,6,6,6.0
625,2,2,0,18,6,12,9.0
626,2,2,0,18,9,9,9.0
627,2,2,0,21,9,12,10.5
628,2,2,0,15,6,9,7.5
629,2,2,0,12,6,6,6.0
630,2,2,0,21,9,12,10.5
631,2,2,0,15,6,9,7.5
632,2,2,0,21,9,12,10.5
633,2,2,0,15,6,9,7.5
634,2,2,0,15,6,9,7.5
635,2,2,0,21,9,12,10.5
636,2,2,0,24,12,12,12.0
637,2,2,0,21,9,12,10.5
638,2,2,0,15,6,9,7.5
639,2,2,0,18,9,9,9.0
640,2,2,0,18,6,12,9.0
641,2,2,0,21,9,12,10.5
642,2,2,0,21,9,12,10.5
643,2,2,0,12,6,6,6.0
644,2,2,0,18,6,12,9.0
645,2,2,0,12,6,6,6.0
646,2,2,0,15,6,9,7.5
647,2,2,0,18,6,12,9.0
648,2,2,0,18,9,9,9.0
649,2,2,0,15,6,9,7.5
650,2,2,0,15,6,9,7.5
651,2,2,0,21,9,12,10.5
652,2,2,0,15,6,9,7.5
653,2,2,0,15,6,9,7.5
654,2,2,0,18,9,9,9.0
655,2,2,0,15,6,9,7.5
656,2,2,0,15,6,9,7.5
657,2,2,0,18,6,12,9.0
658,2,2,0,19,9,10,9.5
659,2,2,0,12,6,6,6.0
660,2,2,0,18,9,9,9.0
661,2,2,0,24,12,12,12.0
662,2,2,0,15,6,9,7.5
663,2,2,0,21,9,12,10.5
664,2,2,0,18,9,9,9.0
665,2,2,0,21,6,15,10.5
666,2,2,0,24,9,15,12.0
667,2,2,0,15,6,9,7.5
668,2,2,0,21,9,12,10.5
669,2,2,0,15,6,9,7.5
670,2,2,0,24,9,15,12.0
671,2,2,0,15,6,9,7.5
672,2,2,0,24,9,15,12.0
673,2,2,0,15,6,9,7.5
674,2,2,0,12,6,6,6.0
675,2,2,0,18,9,9,9.0
676,2,2,0,21,9,12,10.5
